test_error,train_loss,test_error_std,train_loss_std,lambda,probability,sample_complexity,samples,rho,penalty,q,q_std,m,m_std,b,b_std
0.3091,1.942091713245209,0.026972022541885878,0.09400872628947504,0.01,0.5,0.1,50,1,l2,0.7419042626382586,0.01856972926858494,0.5096953984710533,0.05909644745925355,0.15971811342781111,0.3933340065708355
0.20350000000000001,2.7174186955932074,0.018342573429047517,0.12046115212242071,0.01,0.5,0.42222222222222217,211,1,l2,2.7943317973661075,0.07770221753377596,1.4616517897763122,0.05189857379441998,0.0396031681673901,0.21732667685274704
0.1598,3.749549007755662,0.014517575555167606,0.1485744714563961,0.01,0.5,0.7444444444444444,372,1,l2,4.51240215425989,0.10812094429812633,2.1239449495825857,0.1205980136716162,0.0005813625756862534,0.13945695822294815
0.1564,4.8019958480312805,0.015467385040788244,0.12619185932011032,0.01,0.5,1.0666666666666667,533,1,l2,6.163295162465563,0.1619408557089477,2.4756537153981304,0.09966991511713488,0.0053533240982181225,0.1143143774782056
0.1421,6.068376818560654,0.010406248123122951,0.25893690357350374,0.01,0.5,1.3888888888888888,694,1,l2,7.503950153956893,0.2775857254222105,2.9284957244301184,0.10866559545589666,0.09196288474158575,0.1764333572045022
0.14889999999999998,7.133335121912094,0.018195878654244758,0.28592937696462895,0.01,0.5,1.711111111111111,855,1,l2,9.340580823605565,0.367849496088365,3.2102919085851447,0.1406059507226217,-0.007349679858424897,0.15955301168704655
0.147,8.371815190290338,0.01648029125956213,0.3424653893949572,0.01,0.5,2.033333333333333,1016,1,l2,10.582361502546636,0.41652589587330596,3.517998109773503,0.1288534456338464,0.023460428916853526,0.09217271363420719
0.1351,9.53559920418222,0.010793053321465615,0.3351478510486061,0.01,0.5,2.3555555555555556,1177,1,l2,11.823189111388425,0.5383265251704343,3.7270183757668334,0.10446123926612252,0.01274582259075325,0.11171097601473534
0.12880000000000003,10.673428509251854,0.016197530676001205,0.27588356820674254,0.01,0.5,2.6777777777777776,1338,1,l2,12.647655081503839,0.5368332559222464,3.9837636497625937,0.146662407134266,0.03076300541599265,0.13360613287175088
0.1302,11.680406284298137,0.015497096502248411,0.5574278050705177,0.01,0.5,3.0,1500,1,l2,13.97234125831397,0.5379319302402212,4.195292662207693,0.15603209142094857,0.007720159533558521,0.15340254910140375
