loss,penalty,lambda,probability,sample_complexity,V,m,q,b,test_error,train_loss
hinge,l2,0.1,0.5,0.01,4.151922189446034,0.023289064193016445,0.011272298985782005,0.0,0.41318710481600585,1.2118308612516542e-195
hinge,l2,0.1,0.5,0.07102040816326531,3.8596353982537828,0.14600197920964111,0.07371869595457235,1.0557255617396391e-14,0.29537931519319094,4.931997343277494e-28
hinge,l2,0.1,0.5,0.1320408163265306,3.5793322646545325,0.2435723314833647,0.12872692675923447,2.392142459609004e-14,0.24860683146645057,3.251628358665308e-16
hinge,l2,0.1,0.5,0.19306122448979593,3.3297516299118954,0.32481745520512423,0.1793683105218593,1.0651508403922059e-15,0.22155591129819827,2.7868817701883027e-11
hinge,l2,0.1,0.5,0.2540816326530612,3.1142171710639084,0.3953957537413685,0.22726854740580862,0.0,0.20343996797599795,1.2543370041491195e-08
hinge,l2,0.1,0.5,0.31510204081632653,2.928185356465871,0.4586339405183176,0.27331972137174326,-2.0676640489835728e-16,0.1901714119728939,5.029192841480698e-07
hinge,l2,0.1,0.5,0.37612244897959185,2.766240258108976,0.516538330887603,0.31804597863584405,7.601163446261564e-17,0.17985439587689644,5.7749923182709185e-06
hinge,l2,0.1,0.5,0.43714285714285717,2.623876489937351,0.5703751058117245,0.36174700707646595,-5.428716837560734e-17,0.17148151963909236,3.210736583825934e-05
hinge,l2,0.1,0.5,0.4981632653061225,2.497685800346848,0.6209602397763021,0.4045369916785278,-3.3263573468562776e-18,0.16445713957664604,0.00011306779632934817
hinge,l2,0.1,0.5,0.5591836734693878,2.385140131180255,0.6688111811367994,0.44636240578559055,1.4357812353784043e-19,0.15839911717466304,0.0002932238088021622
hinge,l2,0.1,0.5,0.6202040816326531,2.2843059471739995,0.7142442415737248,0.48704634136750846,2.1529957182437475e-19,0.15305036290164808,0.0006134324364438989
hinge,l2,0.1,0.5,0.6812244897959184,2.193615819439542,0.7574506701148351,0.5263590307701393,-1.7295910931783912e-19,0.14823556778713443,0.0010979867661627968
hinge,l2,0.1,0.5,0.7422448979591837,2.111733421377683,0.7985559366598541,0.5640864904653182,0.0,0.1438359049731775,0.0017501877538711125
hinge,l2,0.1,0.5,0.8032653061224491,2.037493233449586,0.837659426352558,0.6000738285994888,-5.535555963876807e-20,0.1397713622186878,0.0025557628802402588
hinge,l2,0.1,0.5,0.8642857142857143,1.9698789183576302,0.8748555938339456,0.6342390135958256,-3.722790548038492e-20,0.13598768033596054,0.003489808553311328
hinge,l2,0.1,0.5,0.9253061224489797,1.908013224655135,0.9102419095688348,0.6665663093726848,-3.330266738446872e-20,0.13244706055913935,0.004523432832453208
hinge,l2,0.1,0.5,0.986326530612245,1.8511472226201047,0.9439196038964699,0.6970908553720103,-5.896412412873285e-21,0.12912197589358987,0.0056283834416254765
hinge,l2,0.1,0.5,1.0473469387755103,1.7986464898156052,0.9759915449628545,0.7258822374449094,6.464871715157008e-21,0.12599128693886935,0.006779562661802293
hinge,l2,0.1,0.5,1.1083673469387756,1.7499756311529997,1.006559600377226,0.7530306869754029,0.0,0.12303790483137778,0.007955995852509674
hinge,l2,0.1,0.5,1.1693877551020408,1.7046829650835065,1.0357224517898287,0.7786368304486306,-2.0759975865107543e-20,0.12024741815894785,0.009140880345646567
hinge,l2,0.1,0.5,1.230408163265306,1.6623865770834756,1.0635741034971082,0.8028046550612119,0.0,0.11760729092767608,0.010321180263948088
hinge,l2,0.1,0.5,1.2914285714285716,1.622762259291059,1.0902030224370876,0.8256369708402113,8.693895669323371e-21,0.1151063881399752,0.011487053185135106
hinge,l2,0.1,0.5,1.3524489795918369,1.5855334074263718,1.115691758341188,0.8472326593154444,0.0,0.11273468609475584,0.012631261610163098
hinge,l2,0.1,0.5,1.4134693877551021,1.5504627108169817,1.1401168945505868,0.8676851372811024,-1.9256086940993773e-20,0.11048308613960994,0.013748639849603055
hinge,l2,0.1,0.5,1.4744897959183674,1.517345386546756,1.163549209826801,0.8870816181817258,-3.167795901664736e-20,0.1083432868108985,0.014835641192549737
hinge,l2,0.1,0.5,1.5355102040816326,1.4860036928220612,1.1860539646680803,0.9055028802337038,0.0,0.10630768948666425,0.01588996743908634
hinge,l2,0.1,0.5,1.5965306122448981,1.4562824827313503,1.2076912530013908,0.9230233458715605,-8.04345978977073e-21,0.10436932405340565,0.016910272758485
hinge,l2,0.1,0.5,1.6575510204081634,1.428045594426805,1.22851638066616,0.9397113437859206,0.0,0.10252178720914468,0.017895930481426535
hinge,l2,0.1,0.5,1.7185714285714286,1.4011729099961476,1.2485802464449427,0.9556294700991056,0.0,0.10075918933407957,0.01884685128766643
hinge,l2,0.1,0.5,1.779591836734694,1.3755579479918292,1.2679297109504803,0.970834995206023,0.0,0.09907610763269831,0.019763342456729324
hinge,l2,0.1,0.5,1.8406122448979594,1.3511058833669398,1.2866079452937862,0.9853802836371708,0.0,0.0974675442626241,0.0206459994509203
hinge,l2,0.1,0.5,1.9016326530612246,1.327731909884595,1.3046547554844299,0.9993132068115814,0.0,0.09592888862026694,0.021495622755213044
hinge,l2,0.1,0.5,1.96265306122449,1.3053598779912048,1.3221068809747432,1.0126775367785252,0.0,0.09445588322212445,0.02231315433763887
hinge,l2,0.1,0.5,2.023673469387755,1.283921155837584,1.3389982672295506,1.0255133145016806,-4.601859400253919e-20,0.09304459278945648,0.02309962927571576
hinge,l2,0.1,0.5,2.0846938775510204,1.2633536715928124,1.3553603145287743,1.0378571921067938,0.0,0.09169137625359242,0.023856139125000335
hinge,l2,0.1,0.5,2.1457142857142855,1.2436011034883854,1.3712221025013418,1.0497427445099285,0.0,0.0903928613154506,0.024583804308036687
hinge,l2,0.1,0.5,2.206734693877551,1.2246121917603237,1.3866105939447781,1.061200754679539,0.0,0.08914592140914568,0.025283753473146493
hinge,l2,0.1,0.5,2.2677551020408164,1.206340151038317,1.4015508188441292,1.0722594721170824,0.0,0.08794765480457595,0.02595710820355017
hinge,l2,0.1,0.5,2.3287755102040815,1.1887421659650366,1.41606604079863,1.0829448470431082,1.2527743926398305e-19,0.08679536565656382,0.02660497185484862
hinge,l2,0.1,0.5,2.389795918367347,1.1717789564425456,1.4301779072927718,1.0932807418040418,0.0,0.08568654681535026,0.027228421549608042
hinge,l2,0.1,0.5,2.450816326530612,1.1554144011882932,1.443906585542441,1.1032891216958314,0.0,0.08461886423141313,0.027828502596791822
