loss,penalty,lambda,probability,sample_complexity,V,m,q,b,test_error,train_loss
square,l2,0.01,0.5,1.4134693877551021,1.7516402538408131,0.837339418074997,0.3120243842564796,0.0,0.06693429275158164,0.02235235900323027
square,l2,0.01,0.5,1.4744897959183674,1.6025695274319893,0.8391189605957912,0.3013201662503563,0.0,0.0631750167949946,0.024153631404635202
square,l2,0.01,0.5,1.5355102040816326,1.4745651559603878,0.8406331138487251,0.2912849403210823,0.0,0.059667648320659315,0.025858100432858508
square,l2,0.01,0.5,1.5965306122448981,1.363849812140499,0.8419323728056843,0.2819655100667238,0.0,0.05642101459343596,0.027466235145683377
square,l2,0.01,0.5,1.6575510204081634,1.2674118673740504,0.8430562240968669,0.27336068858936285,0.0,0.05343111669156808,0.028981031112463435
square,l2,0.01,0.5,1.7185714285714286,1.182843856512766,0.8440357173850044,0.26544142455599795,0.0,0.05068623224389758,0.030406925574001466
square,l2,0.01,0.5,1.779591836734694,1.108212810261689,0.8448954324200837,0.25816402315475684,0.0,0.048170455461349224,0.03174907869996124
square,l2,0.01,0.5,1.8406122448979594,1.0419581854253241,0.8456549710922593,0.25147845844269345,0.0,0.04586603627666047,0.033012914106673716
square,l2,0.01,0.5,1.9016326530612246,0.9828123565123448,0.8463300858718562,0.2453333826561411,0.0,0.04375485781607395,0.03420383539189668
square,l2,0.01,0.5,1.96265306122449,0.9297389651840199,0.8469335339188895,0.2396789949570266,0.0,0.04181932317303023,0.03532705896455025
square,l2,0.01,0.5,2.023673469387755,0.8818851513753958,0.847475725654185,0.23446856267482455,0.0,0.040042850724565114,0.0363875221376494
square,l2,0.01,0.5,2.0846938775510204,0.8385444743587523,0.8479652196387736,0.22965911636515052,0.0,0.03841011741042934,0.03738983892628784
square,l2,0.01,0.5,2.1457142857142855,0.7991280316900442,0.8484091023954954,0.22521165345589936,0.0,0.036907144603273746,0.03833828545321702
square,l2,0.01,0.5,2.206734693877551,0.763141859027283,0.8488132818200372,0.22109106167417522,0.0,0.03552128937574276,0.03923680336377487
square,l2,0.01,0.5,2.2677551020408164,0.7301691547493437,0.8491827153665874,0.21726589197229335,0.0,0.034241181633059795,0.04008901346401871
square,l2,0.01,0.5,2.3287755102040815,0.6998562178394659,0.8495215887502257,0.2137080608584563,0.0,0.03305663325028506,0.04089823501531799
square,l2,0.01,0.5,2.389795918367347,0.6719012598093301,0.849833456856808,0.2103925286385045,0.0,0.03195853522098613,0.04166750751554423
square,l2,0.01,0.5,2.450816326530612,0.6460454503179474,0.8501213556123053,0.20729698056790163,0.0,0.030938752634881286,0.04239961314378026
square,l2,0.01,0.5,2.5118367346938775,0.6220657076633502,0.8503878913914857,0.20440152552136193,0.0,0.029990023186590456,0.04309709880983549
square,l2,0.01,0.5,2.572857142857143,0.5997688610019348,0.8506353129349398,0.20168841907329432,0.0,0.02910586224145385,0.0437622971190965
square,l2,0.01,0.5,2.633877551020408,0.5789868965756376,0.8508655695576496,0.19914181357362115,0.0,0.02828047590012827,0.044397345920554804
square,l2,0.01,0.5,2.6948979591836735,0.5595730646106375,0.8510803585487327,0.19674753532774272,0.0,0.027508682534883144,0.04500420635990674
square,l2,0.01,0.5,2.7559183673469385,0.541398674737221,0.8512811639893989,0.19449288738729953,0.0,0.02678584262138341,0.04558467934708679
square,l2,0.01,0.5,2.816938775510204,0.524350444151288,0.8514692887209192,0.1923664759526595,0.0,0.026107796420092137,0.046140420525326624
square,l2,0.01,0.5,2.8779591836734695,0.5083282928629435,0.8516458808087644,0.1903580579923114,0.0,0.025470808859367082,0.046672953775800746
square,l2,0.01,0.5,2.9389795918367345,0.4932435006043053,0.8518119555671477,0.18845840786423718,0.0,0.024871520970876693,0.04718368347853707
square,l2,0.01,0.5,3.0,0.4790171609631195,0.8519684139699011,0.18665920048411455,0.0,0.024306907120017533,0.047673905458650655
