loss,penalty,lambda,probability,sample_complexity,V,m,q,b,test_error,train_loss
logistic,l2,0.01,0.5,0.01,49.63853343581838,0.055482504509504635,0.07890934359891372,0.0,0.42171373856078703,0.05751830765604565
logistic,l2,0.01,0.5,0.1673684210526316,44.4451956146005,0.750763582216861,1.2138489088352147,0.0,0.24779990530746365,0.0519327680181944
logistic,l2,0.01,0.5,0.3247368421052632,40.13313180305133,1.2358712419166862,2.210116872509097,0.0,0.20289785708040048,0.04886289388496347
logistic,l2,0.01,0.5,0.4821052631578948,36.55690323591526,1.6079589443275646,3.1210601897953243,0.0,0.18136567604170134,0.047112950657337525
logistic,l2,0.01,0.5,0.6394736842105264,33.55138430028235,1.9120263991187711,3.9749141468771567,0.0,0.16877303145654143,0.046140211640449014
logistic,l2,0.01,0.5,0.796842105263158,30.982931495935713,2.1713525834859246,4.787984469615868,0.0,0.1605194778040231,0.04567183373803136
logistic,l2,0.01,0.5,0.9542105263157896,28.753321848046305,2.3991658701865606,5.570263207370565,0.0,0.15468730017801752,0.04555779010163398
logistic,l2,0.01,0.5,1.1115789473684212,26.79148033801212,2.6035697138071296,6.328094601586227,0.0,0.15033869620559276,0.04570942750399358
logistic,l2,0.01,0.5,1.2689473684210528,25.0454436594631,2.789825969269044,7.065547362319798,0.0,0.14696193101435256,0.046071376546978106
logistic,l2,0.01,0.5,1.4263157894736844,23.476532510844066,2.961507181227674,7.785170430896974,0.0,0.14425427577104893,0.04660758286832764
logistic,l2,0.01,0.5,1.583684210526316,22.055395411584175,3.1211217918214675,8.488433299890033,0.0,0.14202512972981085,0.04729383578641723
logistic,l2,0.01,0.5,1.7410526315789476,20.75934734639114,3.2704746162824514,9.175995030533027,0.0,0.14014836421666443,0.048113515192431
logistic,l2,0.01,0.5,1.8984210526315792,19.570561598259747,3.410885593710678,9.847875818559526,0.0,0.13853702858615546,0.04905503515393758
logistic,l2,0.01,0.5,2.055789473684211,18.47482073792087,3.5433284841886277,10.503571413653262,0.0,0.13712907854087164,0.05011022952266826
logistic,l2,0.01,0.5,2.213157894736842,17.460637766017346,3.6685222915192925,11.142133817368705,0.0,0.1358789086962814,0.05127328285447073
logistic,l2,0.01,0.5,2.3705263157894736,16.518626179547354,3.786993751175325,11.762232794119893,0.0,0.13475211398854825,0.05253998732869705
logistic,l2,0.01,0.5,2.5278947368421054,15.641040355704243,3.8991216269440647,12.362207878161701,0.0,0.13372213282145234,0.05390719901263792
logistic,l2,0.01,0.5,2.6852631578947372,14.821434469036289,4.005169382018723,12.940117839858292,0.0,0.13276803215528316,0.05537241752870553
logistic,l2,0.01,0.5,2.8426315789473686,14.05440514059419,4.10531040090594,13.493793014406172,0.0,0.13187301136111018,0.056933442283852755
logistic,l2,0.01,0.5,3.0,13.33539391367161,4.199648520176008,14.02089496262501,0.0,0.13102337470720837,0.05858807589384451
