loss,penalty,lambda,probability,sample_complexity,V,m,q,b,test_error,train_loss
square,l1,0.01,0.5,0.2540816326530612,27.2181507632539,0.49306153388830354,0.3908154020920421,0.0,0.21514185463112917,0.00040677588342380086
square,l1,0.01,0.5,0.31510204081632653,24.888591444277417,0.5665818082635821,0.378311024623589,0.0,0.17848175727571236,0.00042237105521191707
square,l1,0.01,0.5,0.37612244897959185,22.737385505515864,0.6227551406522018,0.37360470376025445,0.0,0.15413658874633196,0.00045780996865769295
square,l1,0.01,0.5,0.43714285714285717,20.74482879031932,0.6666688781769394,0.37523891533121195,0.0,0.13822713374859474,0.000514287118434906
square,l1,0.01,0.5,0.4981632653061225,18.87815227997416,0.7017499064066184,0.3823495984106483,0.0,0.12821164969266063,0.000596372928411402
square,l1,0.01,0.5,0.5591836734693878,17.107490597250845,0.7302868244041313,0.394541269284937,0.0,0.12248671823882523,0.0007125849910847194
square,l1,0.01,0.5,0.6202040816326531,15.408129420972354,0.7538286305092894,0.4116833266216825,0.0,0.12002272904998618,0.000877111464640853
square,l1,0.01,0.5,0.6812244897959184,13.760313205708297,0.7734379605993564,0.4336662536273503,0.0,0.12010030279663891,0.0011130574026834874
square,l1,0.01,0.5,0.7422448979591837,12.149723503403218,0.7898447510245981,0.4600110143789679,0.0,0.12210087808401215,0.001457871143717926
square,l1,0.01,0.5,0.8032653061224491,10.570287888779529,0.8035381367727337,0.48917084543823314,0.0,0.12530189174554807,0.0019711733467865423
square,l1,0.01,0.5,0.8642857142857143,9.030906693435128,0.8148253001681948,0.5174779154135138,0.0,0.1286681047570019,0.0027418633474439796
square,l1,0.01,0.5,0.9253061224489797,7.56534282664929,0.8238895146461261,0.5384401557505679,0.0,0.13076240265462807,0.003880967083527376
square,l1,0.01,0.5,0.986326530612245,6.234678402355226,0.830885321792861,0.5445776886862052,0.0,0.13009769903939483,0.005475460486087251
square,l1,0.01,0.5,1.0473469387755103,5.103369267840193,0.8360598622826092,0.5327283445113051,0.0,0.1260068470475323,0.007511247541716878
square,l1,0.01,0.5,1.1083673469387756,4.1991906547978965,0.8397885767193806,0.5070452575712263,0.0,0.11912731635420148,0.009853528529170357
square,l1,0.01,0.5,1.1693877551020408,3.502899306792834,0.8424770541167582,0.47501820700144765,0.0,0.11078372552487625,0.012325635404713785
square,l1,0.01,0.5,1.230408163265306,2.972077192413769,0.8444563606288771,0.44247771711459477,0.0,0.10213201851947568,0.014789243570481983
square,l1,0.01,0.5,1.2914285714285716,2.5643291052226265,0.8459566223680803,0.4123792929946535,0.0,0.09386143158044358,0.017163628918340088
