test_error,train_loss,test_error_std,train_loss_std,lambda,probability,sample_complexity,samples,rho,penalty,q,q_std,m,m_std,b,b_std
0.3821,0.0005013731750046909,0.034572966317630315,5.1454404252170264e-05,0.01,0.5,0.1,50,0.5,l1,0.44481882745258394,0.06413198235338104,0.20464357040410097,0.04978648930678837,-0.00012510871030118887,0.11750811897546501
0.13119999999999998,0.0004996579762433525,0.0244532206467778,5.133435315696067e-05,0.01,0.5,0.42222222222222217,211,0.5,l1,0.37011213490349343,0.036225804309765526,0.6747388766824252,0.03213631177384389,-0.0029121533918932503,0.039498930262648224
0.1255,0.0014007323617193207,0.02116246677492962,0.0001216129844256964,0.01,0.5,0.7444444444444444,372,0.5,l1,0.47189757043434755,0.045070971066499654,0.7912397799850137,0.03801103347171783,0.00935016476624648,0.03347968947500576
0.12689999999999999,0.007650052037889624,0.015946472964263915,0.0007924455065298209,0.01,0.5,1.0666666666666667,533,0.5,l1,0.5346346542510352,0.07551365128225022,0.8418505860447659,0.025040225832203066,0.0006624238356652091,0.02640622851183584
0.0844,0.019229298429651397,0.018778711350888804,0.0028730076407253004,0.01,0.5,1.3888888888888888,694,0.5,l1,0.36988994531557207,0.0311148612971934,0.8558579668831428,0.030588276883013556,-0.013247319484284295,0.014871662903534191
0.06039999999999999,0.030813181927243354,0.006183849933496125,0.0018661146091558506,0.01,0.5,1.711111111111111,855,0.5,l1,0.28310671654113284,0.022736129459135165,0.8495428390908113,0.012561617773253911,0.0030328525846850295,0.017356438154100564
0.0428,0.03637297167254594,0.0076,0.002914572710805768,0.01,0.5,2.033333333333333,1016,0.5,l1,0.23917314847063015,0.018236108792535455,0.8561744659962007,0.015409699612616536,0.004701591699377926,0.016031553235858396
0.032999999999999995,0.041038841577332084,0.005477225575051661,0.003157988387214234,0.01,0.5,2.3555555555555556,1177,0.5,l1,0.21921125378736442,0.015225109496428722,0.8640061938807527,0.015379334092346422,-0.00773219856865352,0.017955968488809506
0.030700000000000005,0.04456034707756652,0.007029224708315988,0.0027727652432888955,0.01,0.5,2.6777777777777776,1338,0.5,l1,0.1988480207804128,0.01040582002889923,0.8554776400836065,0.020328480142283275,-0.004710778797738331,0.00795077516096732
0.028200000000000003,0.04816369254758465,0.00835224520712844,0.0036854883704223107,0.01,0.5,3.0,1500,0.5,l1,0.1937707281187033,0.015478216193351435,0.8492906148255355,0.012882441595086867,0.006205991323383636,0.0059518182040370375
